teamNum,teamName,logo
305,depaul-blue-demons,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/305.png&h=100&w=100
46,georgetown-hoyas,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/46.png&h=100&w=100
269,marquette-golden-eagles,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png&h=100&w=100
2507,providence-friars,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2507.png&h=100&w=100
2550,seton-hall-pirates,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2550.png&h=100&w=100
2599,st.-john's-red-storm,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png&h=100&w=100
222,villanova-wildcats,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/222.png&h=100&w=100
2752,xavier-musketeers,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2752.png&h=100&w=100
356,illinois-fighting-illini,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png&h=100&w=100
84,indiana-hoosiers,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png&h=100&w=100
2294,iowa-hawkeyes,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2294.png&h=100&w=100
120,maryland-terrapins,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/120.png&h=100&w=100
130,michigan-wolverines,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&h=100&w=100
127,michigan-state-spartans,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&h=100&w=100
135,minnesota-golden-gophers,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/135.png&h=100&w=100
158,nebraska-cornhuskers,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/158.png&h=100&w=100
77,northwestern-wildcats,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/77.png&h=100&w=100
194,ohio-state-buckeyes,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/194.png&h=100&w=100
213,penn-state-nittany-lions,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png&h=100&w=100
2509,purdue-boilermakers,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png&h=100&w=100
164,rutgers-scarlet-knights,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/164.png&h=100&w=100
275,wisconsin-badgers,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&h=100&w=100
2567,smu-mustangs,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&h=100&w=100
2724,wichita-state-shockers,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2724.png&h=100&w=100
2132,cincinnati-bearcats,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&h=100&w=100
2250,gonzaga-bulldogs,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png&h=100&w=100
2440,nevada-wolf-pack,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2440.png&h=100&w=100
